geneName	name	chrom	strand	txStart	txEnd	txSize	cdsStart	cdsEnd	cdsSize
899	ITPKC	chr19	+	41223007	41246765	23758	41223040	41245465	22425
754	CMAS	chr12	+	22199109	22218606	19497	22199237	22218245	19008
183	BSPRY	chr9	+	116111811	116133513	21702	116111859	116132422	20563
1488	GDAP2	chr1	-	118406106	118472302	66196	118413190	118462980	49790
171	INVS	chr9	+	102861501	103063426	201925	102866803	103062956	196153
9	EHMT2	chr6_dbb_hap3	-	3133118	3151066	17948	3133442	3151036	17594
157	RPIA	chr2	+	88991175	89050452	59277	88991216	89049595	58379
968	GNAT1	chr3	+	50229042	50235129	6087	50229158	50232388	3230
957	CCDC114	chr19	-	48799708	48823332	23624	48800232	48822028	21796
147	NEXN	chr1	+	78354199	78409578	55379	78381791	78408514	26723
851	GART	chr21	-	34896315	34914464	18149	34897071	34911621	14550
9	EHMT2	chr6_qbl_hap6	-	3141328	3159275	17947	3141652	3159245	17593
699	POTED	chr21	+	14982497	15013906	31409	14982549	15013887	31338
759	ZNF280B	chr22	-	22838771	22863505	24734	22842091	22843723	1632
745	RNASE9	chr14	-	21024251	21029090	4839	21024610	21025228	618
1596	USP20	chr9	+	132597695	132644117	46422	132614834	132642552	27718
1379	BAAT	chr9	-	104122698	104145801	23103	104124709	104133686	8977
637	ARHGAP28	chr18	+	6834431	6915712	81281	6837347	6912153	74806
140	ADD2	chr2	-	70902215	70995375	93160	70903840	70995031	91191
1731	GIMAP6	chr7	-	150322463	150329736	7273	150325272	150327230	1958
1486	MPZL3	chr11	-	118097404	118123083	25679	118100608	118123009	22401
1259	SMYD1	chr2	+	88367298	88412902	45604	88367383	88410031	42648
1458	HIPK1	chr1	+	114493766	114520491	26725	114495433	114516134	20701
1458	HIPK1	chr1	+	114471995	114520491	48496	114483005	114516134	33129
673	E2F6	chr2	-	11584500	11606303	21803	11586602	11606005	19403
1531	GSN	chr9	+	124030379	124095120	64741	124064249	124094881	30632
1989	EIF4G1	chr3	+	184032282	184053146	20864	184033584	184052696	19112
737	POTEM	chr14	-	19983953	20020272	36319	19990547	20020220	29673
614	PGAP2	chr11	+	3819048	3847601	28553	3819073	3846688	27615
94	CDC42	chr1	+	22379119	22419436	40317	22404971	22418010	13039
1463	CDO1	chr5	-	115140429	115152405	11976	115141129	115152094	10965
204	CDC25C	chr5	-	137620953	137667566	46613	137621380	137666869	45489
952	CDC25A	chr3	-	48198667	48229801	31134	48200434	48229437	29003
107	SEPT7	chr7	+	35840595	35946715	106120	35840819	35943903	103084
840	UBP1	chr3	-	33429828	33481897	52069	33431822	33481340	49518
929	CEACAM16	chr19	+	45202420	45213986	11566	45204726	45213778	9052
1431	ALG13	chrX	+	110924345	110933623	9278	110924446	110931207	6761
234	PALLD	chr4	+	169552767	169849608	296841	169602541	169847536	244995
234	PALLD	chr4	+	169418216	169849608	431392	169432655	169846397	413742
680	TSEN2	chr3	+	12526009	12574820	48811	12531299	12574220	42921
782	OXSM	chr3	+	25831562	25836025	4463	25832511	25835985	3474
1420	ALKBH2	chr12	-	109525992	109531293	5301	109526010	109530591	4581
1022	GDPD1	chr17	+	57297827	57353330	55503	57297970	57352559	54589
946	ZNF652	chr17	-	47366567	47439476	72909	47375774	47395087	19313
818	C6orf136	chr6	+	30614815	30620987	6172	30615008	30620692	5684
1729	SYNPO	chr5	+	149997205	150031903	34698	149997929	150029895	31966
1729	SYNPO	chr5	+	149980641	150031903	51262	149997929	150029895	31966
1027	ZNF772	chr19	-	57980953	57988938	7985	57984641	57988677	4036
9	OSBPL5	chr11	-	3108345	3186582	78237	3109434	3150378	40944
1608	TCF21	chr6	+	134210259	134213393	3134	134210535	134212940	2405
23	NOTCH2	chr1	-	120477735	120612317	134582	120478041	120612020	133979
607	GPANK1	chr6_qbl_hap6	-	2922642	2927703	5061	2923684	2925898	2214
607	GPANK1	chr6_ssto_hap7	-	2959803	2964865	5062	2960845	2963060	2215
606	DDX39B	chr6_ssto_hap7	-	2828800	2841057	12257	2829015	2839114	10099
110	KRTAP1-3	chr17	-	39190136	39191107	971	39190569	39191073	504
146	ST6GALNAC5	chr1	+	77333185	77529737	196552	77333360	77528891	195531
1	NPAS3	chr14	+	33408458	34273382	864924	33408522	34270315	861793
938	WNT7B	chr22	-	46316247	46373008	56761	46318735	46372634	53899
191	FBXO32	chr8	-	124510126	124553493	43367	124515612	124553254	37642
1025	PRR20A	chr13	+	57728194	57731216	3022	57728581	57730268	1687
13	C6orf106	chr6	-	34555056	34664627	109571	34558341	34664380	106039
660	UBL5	chr19	+	9938567	9940797	2230	9939013	9940684	1671
838	ITGB1	chr10	-	33189245	33246822	57577	33190497	33224486	33989
74	SMYD4	chr17	-	1682828	1733175	50347	1684579	1731288	46709
9	POLN	chr4	-	2073644	2230958	157314	2073840	2230958	157118
587	FAM101B	chr17	-	289770	295731	5961	292954	295731	2777
942	PRSS42	chr3	-	46871893	46875585	3692	46871893	46875585	3692
802	GPX6	chr6	-	28471072	28483570	12498	28472068	28483520	11452
727	FKBP8	chr19	-	18642567	18654383	11816	18642978	18652780	9802
187	CT47A12	chrX	-	120011344	120066151	54807	120064142	120065896	1754
1501	CT47A12	chrX	-	120067694	120071012	3318	120069003	120070757	1754
1493	NLRX1	chr11	+	119039421	119054726	15305	119042112	119054148	12036
11	KIF13A	chr6	-	17763923	17987854	223931	17764340	17987694	223354
855	FANCE	chr6	+	35420137	35434881	14744	35420322	35434122	13800
589	SCT	chr11	-	626312	627173	861	626430	627143	713
16	MON2	chr12	+	62860596	62991363	130767	62860987	62986529	125542
1364	SYCP3	chr12	-	102122425	102133250	10825	102122704	102131713	9009
993	PODN	chr1	+	53527723	53551174	23451	53527891	53547833	19942
1342	UBTD1	chr10	+	99258638	99330967	72329	99258960	99330280	71320
818	ZNF689	chr16	-	30613878	30621707	7829	30615584	30621362	5778
1096	LOC286297	chr9	-	67017374	67032072	14698	67032072	67032072	0
790	SPAG5-AS1	chr17	+	26926150	26944395	18245	26944395	26944395	0
695	DDX39A	chr19	-	14519609	14530195	10586	14530195	14530195	0
110	UFM1	chr13	+	38923907	38937144	13237	38937144	38937144	0
616	BRD2	chr6_qbl_hap6	+	4170808	4181419	10611	4172819	4180632	7813
1359	NXPE3	chr3	+	101498285	101547075	48790	101504440	101540798	36358
146	TRPM6	chr9	-	77337410	77503010	165600	77339528	77502772	163244
1618	DUX2	chr10	+	135493785	135498458	4673	135493882	135498450	4568
1766	MME	chr3	+	154797704	154901518	103814	154801956	154898248	96292
1689	ZNF707	chr8	+	144766621	144777555	10934	144772278	144776700	4422
1051	MIR1-1	chr20	+	61151512	61151583	71	61151583	61151583	0
1	SYAP1	chrX	+	16737706	16780807	43101	16780807	16780807	0
1239	TMEM150A	chr2	-	85825669	85829822	4153	85829822	85829822	0
810	CHN2	chr7	+	29519327	29553951	34624	29553951	29553951	0
774	RCAN3AS	chr1	-	24822822	24828850	6028	24828850	24828850	0
12	USP16	chr21	+	30396937	30426807	29870	30400234	30426508	26274
917	LCMT2	chr15	-	43619973	43622820	2847	43620626	43622687	2061
166	ZNF518A	chr10	+	97889471	97923517	34046	97916079	97920530	4451
94	C2CD5	chr12	-	22601479	22697480	96001	22602693	22697084	94391
805	TRNAU1AP	chr1	+	28879528	28905057	25529	28879622	28904148	24526
131	SDHAF2	chr11	+	61197596	61214239	16643	61197618	61213543	15925
1130	FAM86C1	chr11	+	71498556	71512280	13724	71498582	71510693	12111
737	CDY2A	chrY	-	19990140	19992100	1960	19990146	19991772	1626
1200	RAB40B	chr17	-	80614942	80656598	41656	80615738	80656472	40734
2008	ADIPOQ	chr3	+	186560462	186576252	15790	186570847	186572493	1646
1569	HS6ST1	chr2	-	129023053	129076171	53118	129025735	129076137	50402
1759	SLC39A1	chr1	-	153931574	153936117	4543	153932573	153935191	2618
1759	SLC39A1	chr1	-	153931574	153935844	4270	153932573	153935191	2618
212	PPP2R2B	chr5	-	145969066	146258348	289282	145969509	146236098	266589
233	SLIT3	chr5	-	168088737	168728133	639396	168093458	168727713	634255
1913	MSX2	chr5	+	174151574	174157902	6328	174151662	174156586	4924
622	MSX1	chr4	+	4861391	4865660	4269	4861626	4864870	3244
1147	UCP3	chr11	-	73711325	73720282	8957	73712456	73718087	5631
867	EPM2AIP1	chr3	-	37027356	37034795	7439	37032744	37034568	1824
634	KIAA0753	chr17	-	6481644	6544247	62603	6483066	6538423	55357
80	PPFIBP2	chr11	+	7534995	7674996	140001	7570706	7674449	103743
73	IRF4	chr6	+	391738	411443	19705	393152	407598	14446
594	MUC5B	chr11	+	1244294	1283406	39112	1244353	1282838	38485
823	DDX11	chr12	+	31226778	31257725	30947	31231327	31256770	25443
857	USF2	chr19	+	35759895	35770718	10823	35760004	35770159	10155
920	DYNC2LI1	chr2	+	44001177	44037149	35972	44001277	44036906	35629
841	KL	chr13	+	33590570	33640282	49712	33590578	33638323	47745
140	CCAR1	chr10	+	70480900	70552134	71234	70482261	70551023	68762
1025	PRR20A	chr13	+	57734765	57737787	3022	57735152	57736839	1687
1601	P2RX2	chr12	+	133195365	133198972	3607	133195402	133198558	3156
12	MYO18B	chr22	+	26138119	26427007	288888	26157059	26423644	266585
1044	MS4A14	chr11	+	60163486	60185228	21742	60164051	60184481	20430
847	C9orf24	chr9	-	34379016	34397849	18833	34379643	34397631	17988
1162	CAPS2	chr12	-	75669758	75723836	54078	75670022	75723639	53617
793	ABHD1	chr2	+	27346656	27353680	7024	27346816	27353612	6796
1528	TRAF1	chr9	-	123664670	123691451	26781	123667297	123688353	21056
603	DDR1	chr6_cox_hap2	+	2364854	2380033	15179	2365094	2379173	14079
988	ICK	chr6	-	52866097	52926600	60503	52869946	52906034	36088
607	C6orf47	chr6_mcf_hap5	-	3005754	3008229	2475	3006519	3007404	885
597	RPP21	chr6_apd_hap1	+	1624540	1626270	1730	1624583	1626222	1639
17	LRP5	chr11	+	68080076	68216743	136667	68080182	68216538	136356
1361	PABPC1	chr8	-	101715143	101734315	19172	101716525	101733811	17286
2346	CAPN9	chr1	+	230883129	230937518	54389	230883242	230937342	54100
928	SLC35C2	chr20	-	44978166	44993097	14931	44979032	44987145	8113
1024	SLMO2	chr20	-	57608199	57617901	9702	57610061	57617785	7724
604	AMDHD2	chr16	+	2570362	2579732	9370	2570459	2579564	9105
178	IFT81	chr12	+	110562139	110656600	94461	110565185	110656031	90846
23	MAN1A1	chr6	-	119498365	119670931	172566	119500983	119670230	169247
695	MIR1265	chr10	+	14478574	14478660	86	14478660	14478660	0
1866	MIR103B1	chr5	+	167987908	167987970	62	167987970	167987970	0
943	MIR1539	chr18	+	47013742	47013792	50	47013792	47013792	0
2385	MIR1537	chr1	-	236016299	236016360	61	236016360	236016360	0
2360	MIR1471	chr2	-	232756951	232757008	57	232757008	232757008	0
703	MIR1470	chr19	+	15560358	15560419	61	15560419	15560419	0
1324	MIR1469	chr15	+	96876489	96876536	47	96876536	96876536	0
850	LOC100130700	chr16	-	34739458	34740840	1382	34740840	34740840	0
1359	MIR1197	chr14	+	101491900	101491988	88	101491988	101491988	0
666	MIR1322	chr8	-	10682882	10682953	71	10682953	10682953	0
605	NOP56	chr20	+	2633177	2639039	5862	2639039	2639039	0
738	MIR1306	chr22	+	20073580	20073665	85	20073665	20073665	0
1762	MTCP1	chrX	-	154292308	154299547	7239	154293764	154294285	521
1814	ADAMTS4	chr1	-	161159537	161168845	9308	161160927	161168417	7490
129	MYO1E	chr15	-	59428167	59665071	236904	59429578	59664699	235121
241	TBL1XR1	chr3	-	176738541	176915048	176507	176743285	176782765	39480
1650	CITED2	chr6	-	139693391	139695787	2396	139694268	139695081	813
636	S100P	chr4	+	6695565	6698897	3332	6695659	6698769	3110
108	CACNG2	chr22	-	36956915	37098690	141775	36960397	37098621	138224
1756	S100A2	chr1	-	153533584	153538306	4722	153533914	153536350	2436
143	MICU1	chr10	-	74127083	74385949	258866	74127952	74326551	198599
789	RNF6	chr13	-	26786904	26796508	9604	26787960	26793786	5826
23	TRDN	chr6	-	123537483	123958238	420755	123539745	123957920	418175
957	OCIAD1	chr4	+	48833059	48863834	30775	48834641	48862779	28138
1166	AFMID	chr17	+	76183397	76203782	20385	76183451	76203018	19567
1192	ANKRD34C	chr15	+	79575145	79590581	15436	79585626	79587234	1608
814	VSTM2B	chr19	+	30017490	30055226	37736	30017490	30054841	37351
221	PLCH1	chr3	-	155197670	155394105	196435	155201154	155393828	192674
1139	NSUN5	chr7	-	72716512	72722864	6352	72717592	72722787	5195
1139	NSUN5	chr7	-	72716512	72722864	6352	72717394	72722787	5393
16	MON2	chr12	+	62860596	62991363	130767	62887735	62986529	98794
155	CCSER2	chr10	+	86184937	86278277	93340	86185500	86274023	88523
609	C2	chr6_dbb_hap3	+	3151143	3199039	47896	3187036	3198722	11686
1426	GPR6	chr6	+	110299458	110301923	2465	110299978	110301404	1426
120	CNEP1R1	chr16	+	50059116	50070999	11883	50059226	50069369	10143
724	SHMT1	chr17	-	18231173	18266877	35704	18232063	18250914	18851
653	TMEM9B	chr11	-	8968747	8986558	17811	8969866	8977820	7954
1061	LOC102288414	chr11	-	62430288	62432688	2400	62430521	62432641	2120
30	BTNL8	chr5	+	180326076	180377906	51830	180326310	180377544	51234
125	SPTBN1	chr2	+	54683453	54898583	215130	54753555	54895706	142151
182	GAS6	chr13	-	114523521	114567046	43525	114523836	114566893	43057
1002	RPS9	chr19	+	54704725	54711515	6790	54705052	54711443	6391
930	RPS8	chr1	+	45241245	45244412	3167	45241268	45244357	3089
113	PPHLN1	chr12	+	42719946	42835765	115819	42729704	42835311	105607
113	PPHLN1	chr12	+	42719946	42835765	115819	42726503	42835311	108808
812	RFPL1S	chr22	-	29833003	29838118	5115	29838118	29838118	0
79	APBB1	chr11	-	6416353	6426163	9810	6416763	6426035	9272
157	AGTPBP1	chr9	-	88161453	88356944	195491	88162023	88356877	194854
305	AKT3	chr1	-	243663020	244006584	343564	243668550	244006472	337922
840	UBP1	chr3	-	33429828	33481870	52042	33431822	33481340	49518
202	RAB3GAP1	chr2	+	135809834	135928279	118445	135809877	135926351	116474
1051	DAK	chr11	+	61100653	61116231	15578	61102200	61113975	11775
16	NFIA	chr1	+	61547979	61928460	380481	61548463	61921051	372588
1342	POU3F2	chr6	+	99282579	99286666	4087	99282749	99284081	1332
763	MSRB2	chr10	+	23384426	23410942	26516	23384537	23409791	25254
704	ABCC13	chr21	+	15646119	15663706	17587	15663706	15663706	0
120	ADNP	chr20	-	49505454	49547527	42073	49507941	49520533	12592
1013	OR8U8	chr11	+	56143099	56143975	876	56143099	56143975	876
1129	RGAG4	chrX	-	71346960	71351751	4791	71349680	71351390	1710
1370	GLRA4	chrX	-	102962271	102983552	21281	102962271	102983131	20860
609	C2	chr6_qbl_hap6	+	3189046	3207245	18199	3189322	3206928	17606
120	ZNF423	chr16	-	49524514	49891830	367316	49525185	49764778	239593
1564	FAM71F1	chr7	+	128355395	128371797	16402	128355495	128371167	15672
756	CCAR2	chr8	+	22462538	22477983	15445	22463286	22477195	13909
859	INSM2	chr14	+	36003247	36006260	3013	36003458	36005159	1701
1439	TEX12	chr11	+	112038094	112043279	5185	112039991	112042639	2648
1403	TEX13B	chrX	-	107224093	107225600	1507	107224309	107225357	1048
223	FCRL4	chr1	-	157543538	157567870	24332	157545313	157567734	22421
1786	FCRL5	chr1	-	157483166	157522310	39144	157485464	157522152	36688
1451	TMPRSS5	chr11	-	113558267	113577095	18828	113558981	113576946	17965
1801	OR10J1	chr1	+	159409511	159410600	1089	159409548	159410511	963
651	AICDA	chr12	-	8754761	8765442	10681	8756879	8765363	8484
605	MICA	chr6_qbl_hap6	+	2661006	2676636	15630	2672038	2673752	1714
605	MICA	chr6_ssto_hap7	+	2701358	2716891	15533	2712289	2714006	1717
179	CD200	chr3	+	112051915	112081658	29743	112052059	112080397	28338
1620	MAP3K19	chr2	-	135722060	135782248	60188	135722419	135782217	59798
611	GPSM3	chr6_mann_hap4	-	3501363	3506121	4758	3501963	3503111	1148
113	TCF20	chr22	-	42556018	42611347	55329	42564658	42611311	46653
1156	TCEB1	chr8	-	74857372	74884522	27150	74858864	74872003	13139
154	TCF7L1	chr2	+	85360582	85537511	176929	85360807	85536585	175778
11	MALRD1	chr10	+	19337699	20023407	685708	19337867	20023166	685299
703	COLQ	chr3	-	15491639	15563258	71619	15493150	15563132	69982
1189	SLC38A10	chr17	-	79218610	79269139	50529	79219355	79268721	49366
1188	GCNT1	chr9	+	79115548	79122332	6784	79117297	79118584	1287
1188	GCNT1	chr9	+	79093256	79122332	29076	79117297	79118584	1287
889	HAP1	chr17	-	39878890	39890898	12008	39880952	39890886	9934
83	CARM1	chr19	+	10982252	11033448	51196	10982378	11032433	50055
1161	FUT11	chr10	+	75532048	75535976	3928	75532091	75535273	3182
1042	JKAMP	chr14	+	59951160	59972124	20964	59954484	59970790	16306
1042	JKAMP	chr14	+	59951160	59972124	20964	59951788	59970790	19002
187	CT47A2	chrX	-	120011344	120066151	54807	120064142	120065896	1754
1698	ZNF34	chr8	-	145997608	146012730	15122	145998650	146005625	6975
139	CYB5B	chr16	+	69458497	69500167	41670	69458586	69496423	37837
904	B9D2	chr19	-	41860321	41870078	9757	41860604	41869424	8820
1664	NDFIP1	chr5	+	141488323	141534008	45685	141488539	141524239	35700
172	CENPE	chr4	-	104026962	104119566	92604	104027378	104119476	92098
961	GAGE12D	chrX	+	49325433	49332821	7388	49326599	49332717	6118
1025	ZNF264	chr19	+	57702867	57734214	31347	57703281	57724349	21068
147	BHMT2	chr5	+	78365546	78385897	20351	78365605	78384397	18792
164	VEZT	chr12	+	95611521	95696566	85045	95611626	95694449	82823
129	RNF111	chr15	+	59279864	59389618	109754	59323021	59387099	64078
1357	PCNP	chr3	+	101293041	101313281	20240	101293059	101311597	18538
1438	BCL2L11	chr2	+	111878490	111926022	47532	111881322	111921723	40401
972	ZFP64	chr20	-	50767816	50808524	40708	50768684	50808175	39491
956	UBE2V1	chr20	-	48697660	48732496	34836	48699304	48732112	32808
766	EFS	chr14	-	23825608	23834842	9234	23826434	23834234	7800
12	DMD	chrX	-	31137344	33146544	2009200	31140035	32834745	1694710
1649	PURA	chr5	+	139493707	139499001	5294	139493766	139494735	969
1299	TMEM251	chr14	+	93651374	93653425	2051	93651732	93653016	1284
1761	C1orf43	chr1	-	154179182	154193273	14091	154179928	154192883	12955
1158	SEC14L1	chr17	+	75137004	75213181	76177	75139678	75210105	70427
80	WRAP53	chr17	+	7591666	7606820	15154	7591966	7606804	14838
73	PRKAR1B	chr7	-	588833	752577	163744	590066	751142	161076
772	RNF31	chr14	+	24616658	24629870	13212	24616907	24629782	12875
628	TRIM34	chr11	+	5653484	5662526	9042	5653561	5662459	8898
173	CBLB	chr3	-	105377108	105587887	210779	105377813	105586421	208608
120	CRISP1	chr6	-	49801978	49834218	32240	49803152	49825113	21961
2042	DUX4L5	chr4	+	191005469	191006849	1380	191005566	191006841	1275
2042	DUX4L5	chr4	+	190998875	191000255	1380	190998972	191000247	1275
2042	DUX4L5	chr4	+	190995582	190996962	1380	190995679	190996954	1275
2042	DUX4L5	chr4	+	190992289	190993669	1380	190992386	190993661	1275
585	DUX4L5	chrUn_gl000228	+	99283	100663	1380	99380	100655	1275
1618	DUX4L5	chr10	+	135493785	135498458	4673	135493882	135498450	4568
585	DUX4L5	chrUn_gl000228	+	105895	107275	1380	105992	107267	1275
11	ZNF506	chr19	-	19903519	19932560	29041	19905360	19932412	27052
196	ZBTB34	chr9	+	129622943	129648156	25213	129641690	129643193	1503
694	RRAS2	chr11	-	14299465	14380073	80608	14300882	14316373	15491
1186	PSMA4	chr15	+	78832746	78841563	8817	78836535	78841286	4751
1186	PSMA4	chr15	+	78832746	78841563	8817	78834269	78841286	7017
731	EPN2	chr17	+	19140689	19240028	99339	19213286	19237567	24281
986	ZNF836	chr19	-	52658124	52674896	16772	52658124	52671325	13201
159	CASP8AP2	chr6	+	90539618	90584155	44537	90556308	90583528	27220
587	ZNF732	chr4	-	264463	289944	25481	264887	289944	25057
189	ANAPC5	chr12	-	121746047	121792012	45965	121746282	121784798	38516
2198	RCOR3	chr1	+	211432707	211489725	57018	211432902	211487110	54208
1368	FAM178A	chr10	+	102672325	102719347	47022	102672867	102719328	46461
1655	NSMF	chr9	-	140342022	140353786	11764	140343845	140353554	9709
606	HCP5	chr6_mcf_hap5	+	2811903	2813367	1464	2813367	2813367	0
116	PRDM11	chr11	+	45115563	45246639	131076	45246639	45246639	0
864	MELK	chr9	+	36572858	36677680	104822	36677680	36677680	0
2057	UCHL5	chr1	-	192989016	193029237	40221	193029237	193029237	0
133	USP3	chr15	+	63796709	63886839	90130	63886839	63886839	0
1062	MIR941-4	chr20	+	62550892	62551006	114	62551006	62551006	0
1062	MIR941-4	chr20	+	62551196	62551313	117	62551313	62551313	0
899	SLC25A17	chr22	-	41165633	41215403	49770	41215403	41215403	0
1564	LINC00507	chr12	+	128399954	128436097	36143	128436097	128436097	0
103	CHRNA7	chr15	+	32322685	32462384	139699	32462384	32462384	0
156	ADAM22	chr7	+	87563565	87832204	268639	87563780	87825806	262026
957	EMP3	chr19	+	48828628	48833810	5182	48830101	48833727	3626
848	ELF5	chr11	-	34500341	34535347	35006	34501764	34527296	25532
196	ELF4	chrX	-	129198894	129244475	45581	129200695	129215304	14609
646	ELAVL1	chr19	-	8023456	8070529	47073	8028366	8056699	28333
667	EIF4G2	chr11	-	10818592	10830582	11990	10819362	10828842	9480
642	EIF4A1	chr17	+	7476023	7482324	6301	7476159	7481804	5645
768	EIF2S3	chrX	+	24073064	24096927	23863	24073085	24094902	21817
1083	EHBP1L1	chr11	+	65343508	65360116	16608	65343773	65359773	16000
109	SCN5A	chr3	-	38589552	38691163	101611	38591811	38674798	82987
1145	ELN	chr7	+	73442118	73484236	42118	73442517	73483030	40513
84	SEC61A2	chr10	+	12171639	12211957	40318	12211957	12211957	0
1638	MRAS	chr3	+	138067969	138124377	56408	138091725	138121111	29386
216	PCMT1	chr6	+	150070830	150123667	52837	150070863	150123515	52652
216	PCMT1	chr6	+	150070830	150132557	61727	150070863	150131764	60901
912	EFTUD2	chr17	-	42927654	42976736	49082	42928641	42971889	43248
23	TRDN	chr6	-	123670619	123958238	287619	123673669	123957920	284251
92	PACRGL	chr4	+	20702035	20729980	27945	20706104	20728918	22814
92	PACRGL	chr4	+	20702035	20729980	27945	20706104	20728964	22860
1119	HNRNPH3	chr10	+	70091767	70102953	11186	70096978	70101811	4833
1175	PGK1	chrX	+	77359665	77382324	22659	77359837	77381327	21490
1814	PLG	chr6	+	161123224	161175085	51861	161123336	161174093	50757
739	PLA2G2A	chr1	-	20301923	20306932	5009	20302193	20305266	3073
618	BRD2	chr6_mann_hap4	+	4396598	4406503	9905	4397902	4405716	7814
617	BRD2	chr6_mcf_hap5	+	4276236	4283842	7606	4277540	4283842	6302
616	BRD2	chr6_qbl_hap6	+	4171515	4181419	9904	4172819	4180632	7813
142	RGS6	chr14	+	72399785	73033238	633453	72431508	73029175	597667
663	OLR1	chr12	-	10310898	10324790	13892	10312614	10324676	12062
102	GALNT14	chr2	-	31133330	31352506	219176	31133766	31337677	203911
773	STPG1	chr1	-	24683488	24740262	56774	24685032	24710406	25374
126	SLC6A2	chr16	+	55690555	55740104	49549	55690606	55739184	48578
876	MYD88	chr3	+	38179968	38184512	4544	38180152	38182777	2625
876	MYD88	chr3	+	38179968	38184512	4544	38180152	38182643	2491
936	AKR1A1	chr1	+	46016454	46035723	19269	46027466	46035628	8162
15	R3HDM2	chr12	-	57647547	57704246	56699	57648555	57704211	55656
1522	HSPA8	chr11	-	122928199	122933043	4844	122928441	122932032	3591
915	API5	chr11	+	43333504	43366080	32576	43333677	43364005	30328
795	WDTC1	chr1	+	27561006	27635124	74118	27587545	27632874	45329
190	STAG2	chrX	+	123095555	123236505	140950	123156477	123234447	77970
86	LPHN1	chr19	-	14258548	14316997	58449	14261684	14294414	32730
203	MAP7	chr6	-	136663418	136788013	124595	136665365	136787920	122555
13	DYRK1A	chr21	+	38792601	38887679	95078	38792676	38884834	92158
1311	PDK4	chr7	-	95212808	95225925	13117	95214952	95225605	10653
610	EHMT2	chr6_cox_hap2	-	3357290	3374737	17447	3357614	3374733	17119
656	USP17L25	chr4	+	9345873	9347466	1593	9345873	9347466	1593
656	USP17L25	chr4	+	9350618	9352211	1593	9350618	9352211	1593
656	USP17L25	chr4	+	9355363	9356956	1593	9355363	9356956	1593
656	USP17L25	chr4	+	9364854	9366447	1593	9364854	9366447	1593
114	RIMS4	chr20	-	43380444	43438979	58535	43384774	43438912	54138
670	NEDD9	chr6	-	11200605	11232915	32310	11201213	11232748	31535
249	MAP3K13	chr3	+	185000728	185206882	206154	185003393	185200244	196851
1018	APOF	chr12	-	56754354	56756583	2229	56755008	56756529	1521
194	PSMB7	chr9	-	127115743	127177752	62009	127115876	127177704	61828
1057	SCGB1D1	chr11	+	61957709	61961009	3300	61957756	61960900	3144
1485	SCN2B	chr11	-	118033518	118047337	13819	118037601	118047146	9545
92	RPS6KA3	chrX	-	20168028	20284750	116722	20173515	20284750	111235
2335	SPHAR	chr1	+	229440128	229441250	1122	229440881	229441073	192
1591	GLRX3	chr10	+	131934638	131977932	43294	131934684	131977656	42972
1757	ILF2	chr1	-	153634263	153643504	9241	153634871	153643398	8527
15	GNB5	chr15	-	52413122	52472162	59040	52414953	52472076	57123
586	ARL17A	chr17_ctg5_hap1	+	236131	236665	534	236131	236252	121
600	MKNK2	chr19	-	2037469	2051243	13774	2037737	2050850	13113
721	B3GNT3	chr19	+	17905918	17924385	18467	17918616	17922931	4315
1074	TMEM5	chr12	+	64173582	64203338	29756	64173740	64202872	29132
23	TENM1	chrX	-	123509755	124097666	587911	123514385	124097602	583217
1254	KLHDC4	chr16	-	87741417	87799598	58181	87741956	87799496	57540
778	SNORD116-9	chr15	+	25302005	25302102	97	25302102	25302102	0
778	SNORD116-9	chr15	+	25318252	25318349	97	25318349	25318349	0
642	PEX11G	chr19	-	7541755	7553924	12169	7542087	7553896	11809
1643	ZC3HAV1L	chr7	-	138710451	138720775	10324	138711289	138720763	9474
1099	ACY3	chr11	-	67410025	67418130	8105	67410194	67414514	4320
698	HIST4H4	chr12	-	14923653	14924065	412	14923706	14924018	312
649	ANGPTL4	chr19	+	8429010	8439259	10249	8429205	8438770	9565
1654	PCDHA7	chr5	+	140213968	140216338	2370	140213968	140216338	2370
219	RGS17	chr6	-	153332031	153452389	120358	153332708	153365153	32445
1369	SFXN3	chr10	+	102790995	102800998	10003	102792230	102799342	7112
113	MTA3	chr2	+	42795656	42936686	141030	42795885	42936259	140374
164	HELLS	chr10	+	96305523	96361856	56333	96305678	96361379	55701
13	RAB11FIP1	chr8	-	37716464	37757015	40551	37720412	37756959	36547
216	TARS2	chr1	+	150459839	150480085	20246	150459926	150479540	19614
955	ACSF2	chr17	+	48503518	48552206	48688	48503622	48551913	48291
88	CCDC144A	chr17	+	16593638	16678311	84673	16593714	16676843	83129
959	QRICH1	chr3	-	49067141	49131504	64363	49067884	49114450	46566
1140	TMEM104	chr17	+	72772621	72835922	63301	72773469	72832826	59357
767	IGLL1	chr22	-	23915312	23922495	7183	23915452	23922377	6925
180	GPR85	chr7	-	112720467	112727833	7366	112723663	112724776	1113
1542	ACRV1	chr11	-	125542228	125550793	8565	125542487	125550675	8188
731	E2F8	chr11	-	19245609	19262507	16898	19246204	19261668	15464
600	MSRB1	chr16	-	1988233	1993294	5061	1989112	1993157	4045
1179	VIPAS39	chr14	-	77893017	77923983	30966	77893958	77920445	26487
885	KRTAP4-1	chr17	-	39340351	39341147	796	39340665	39341106	441
870	KCTD17	chr22	+	37447775	37459430	11655	37447779	37458634	10855
